Sentiment,Label
kami nkakapag comment ng ganyan t ang nka usap ng taga pasada rinconada ung nakakita mismo ng pangyayari,negative
kayo napupulaan s ibinalita,negative
agko nayka gasgas tohod,negative
malamig rihas bagsak,negative
paskulungan ang resulta kawawa yung pamilya kulang pasko,negative
imbes masaya problemado haynako bago bago rin tumatanda oh,negative
nka shabu alerto ngamin pra shabu buko alert,negative
ung nka usap cguro ninyo ung usyusiron ing at gustong sumikat,negative
tara noy,neutral
dilaan boy maraya payka,negative
panu naman kasi pinag sabay sabay ganyan,neutral
panahon nguwan takot n tiga maki suksukan s kadaklan n tawo,negative
raw nangyare t arog nangyare,neutral
d utob so social distancing gurang p pati migpila pra makakuko sna q ayuda,negative
pwedi sna limit lang so pinabauy muna pra s pagclaim just saying lang,negative
abo kuno land bank gusto personal appearance senior citizen,negative
kiton inaatod sana nganing d nmn mapagal so gurang,negative
papa ngani nadismayo sahan,negative
raw agko nanaman nganako migreport nagsala hahaha,negative
gurang papapirilahun,neutral
ang iba dae lakaw obligad0 lang makakuang pensi0n,negative
panu nalang c dae talaga dawa tukaw seni0r n0 thanks sana,negative
lgu ang problema bao maski igwa kian itatao tawo sunod dyaday sinda protocol permi agq 1 mtr tas w f shield and mask,negative
jusko kaherak kan gurang dpat organized ng ayos d sabay sabay,negative
poh talga inatod n sana kada bray d n soksokan pila so gurang,neutral
pauno poh palan agko n siton pinang ruloyahan n ginhawa,negative
kulang p poh ah pension matatangap,negative
so kag igin soyan n pila,neutral
isi sana arog kiton diri kona pina iyan siton,negative
maerak mn poh kmo nakakataas gurang diri pasakitan ah gurang,negative
bgo matangap ah pension pabalik balikon ah precedente k sifior siton munisipyo isihon,negative
ngata arog kan tawo,negative
pg agko ipin nao nagsusuksukan pwd gayud pila lalo nguwan agko pinapautob social distansing,negative
udma kadakol positive,neutral
anggan nguwan tubod kamo kobid,negative
ilingon ninyu tunay nangyayare bukong barita sana kamo nagkara base,neutral
sabi kulang ya hospital kitun,negative
sana iriga maitao nmn uda pang bulog ah gurang,negative
ngani agko iyan politiko bray namu social distancing daw pala pagbabayad namu suksukan sinda sadto lunadan 3 opssss share lang,negative
erak senior,negative
let the money talk begin imbes house house distribution abo mg pagal uyan lgu officials,negative
pg abot sintabo nalilingawan ngamin ayy,negative
mayong ngpossitive jan covid free tiga ang bula,negative
panu kc 13baranggay pinagsabay sabay pnu masusunod ang protocol nyan,neutral
2 nsa lgu ang problema pagpapadara yan 5,negative
d nerbyos baad amu p yan cause k pgka sinasabi,negative
aldow pension sarado tibay butchok,negative
full tank pirmi maagahan tinampo trangkilo sana gs os 3 2,neutral
harayo marhay yan traffic edsa hahaha,negative
nabua grabe traffic 2 nyare,negative
pwede halion an barikada kan kampo kan army harap kan deped diyan iyo an saro bottle neck diyan pwera kan kanto pacapitol,negative
lagi naman traffic jan dating pili,negative
super traffic talaga subago nabua namo tapos deretso kami pili traffic din,negative
hanggang uling bula pati motor nasasakitan makasingit tapos sinabayan pang uran kasi yung road libo ang additional ng sasakyan lang palakihan,negative
arog kaini malupit ang hiling may astigmatism may asterisk hahaha,negative
may piling oras mn lang iyo,neutral
isay raw yan ai by the way congrats deserve nyo n mnalo alam qng maraming pera n rin ang nggastos nyo bgo keo nanlo ng ganitong jocpot,positive
next sunod ming gana sahan hoping,positive
sana all sana baratuhan so gabos comment,positive
so gusto balato iyan lang sadto baloy,positive
congratulation nanalo taga bicol uragon god is good all the time,positive
may kasabay pala q kya ing apat number ing ang sakin,neutral
congrats kristel shaila painom nal,positive
wow congratzpoh balato khit pamload ing,positive
sana ol dawa tataya,neutral
sana all gagana,neutral
jassica rose priolo baka ikaw yan taga pol ah balato,positive
wow dalawa n nanalo albay,positive
wag tayong humahangad yumaman dahil masasadlak tayo kapahamakan,neutral
kanguran gatikot pong tyaga y pacencia,negative
yan pong pagenergize 300mva kaipuhan panahon tangane masynchronize y macommission tamang paagui manufacturer s recommendation for safety and dependable usage,positive
antabay sagcod pacencia mawot ngamen marhay y seguridad serbisyo,neutral
dawa maung advisory balatan normal maudaan kuryente bulok,negative
anu ba naman yan power interruption nanamn kainaman,negative
february 14 nalang kuta,neutral
rudolph osma ride gayod kan hahaha brownout gyapon,neutral
s ma date with candle lighting talaga tapus s iba karapaan lang madiklum,neutral
pwede feb 14 sana casureco iii mamuya,neutral
wala bang asa nagbago ilang taon ganyan,negative
ay oh maxado casureco,negative
baga nasiraman naman ah casureco ah,negative
potaton 2 sana dana kuryente kanamo giramrag naamay naman lugod,negative
balatan pake usay tabi diri kami nakakaangos saci,negative
pirmi sana,neutral
umay,negative
riding tabi dri pkauugak kaarani k bloy q tinampo dri inaabot,neutral
casurico sbi ninyo jan 23 eh 21 ping ngown mn iton,negative
unong aldow,neutral
serbisyo newly replaced 300mva transformer masunod so manufacturer s recommendation paono maenergize tangane macommission sagcod magserbisyo grid nasasakopan halos enterong camarines sur,neutral
tyaga ginhawang minamawot,positive
ipabarya permi ng dadakulong tindaahan babakalan hehe,negative
lang pala or magiging milyones ung halaga ng 5k,neutral
lan san antonio remo lalo babakalon sana limanh delemon,neutral
lapu lapu is not hero he is villain an purpose sana fernando magallanes kun tano igdi sya was circumnavigate the world and spread christianity,neutral
there was no decree yet from the king of spain conquer and bako war an nangyari mactan it was just an ambush,neutral
kawawa ang mayari pagnhulog or naiwala yan iyaktawa yun panigurado kht nmn skn,negative
cguro mangyari so 500 balyuhan naman so feature,neutral
commemorative note sana ibig sabiyon an migluwas public limited sana iluluwas kiton,neutral
500 lang c lapu lapu tanggalin ang dilawan,negative
madali sana iton mataban,negative
buti gng laging my 5 k,positive
nku pababa ng pababa n tlga halaga ng piso,negative
la baba gdp,negative
commemorative banknote nga lang naman daw anu ba kau,neutral
kintana 2000 muna or 1500 2,neutral
ay palan yan so sinasabing galin sana so gma unang hirit nagrrigos kami,neutral
sadto mangente resort last jan 12 congrats the winner,positive
congratulations kaninyo pagyamanin ninyo so blessings itinao kaninyo god,positive
god bless your family always,positive
god is good in all the time congrats the family,positive
congrats kahit hinde manali piro kalogar naman ang nanalo palain kyo ng my kapal,positive
congrattz god is good blessings yan sanyo phighn nyo at ingtn,positive
tart joy amu,neutral
congrats kakatuwa naman kc kababayan nanalo praise god,positive
congrats kabayan q taga balatan,positive
ayy amu nbayad gayo yan nmu sdto compound q city hall ng kikibigkibig irak sna maka recover,neutral
ang problema jan halos dukot nmn tiga ang primary line kan casureco telco post suminabit ata c ladder or c payo nya,neutral
kaparati pati mau imng ppe n hard hat ang trabador kan company,negative
erak sana maka survive sya,negative
herak ingat tabi kamo,negative
lringat sana tabi permi,positive
personal protective equipment must be in place,positive
supplier ah rakupon tabi amuyan tinutumbok ninyo,neutral
pano mkaka talon palaka eh may takip ata takure,neutral
dakol p baao kuno raw masampulan nganing pumundo nakakasira ng,neutral
kabataan nakikita ginagawa ng magulang bad influence,negative
kon isi yan dakol baao druga nya tauno pinababayaan mayor pulis,negative
iton nagsisinapot kud pansit bato sana kamo pangla ninyo ipagbariwas,negative
bagana pati kapulisan pwede ninyong paiskoron w,negative
kesa kiton stepping stone kintana kinding bawal,negative
amu mandi baao dri napondo kading tinda shabu dri jaday naubos dakol,negative
tawo nararaot dahil kiton n shabu iton raw karayan kiton maski agko tol tol,negative
tawo nagdadara kiton bisyo iton agwanta kmo,negative
pdi mabuhay uda bisyo buhay,positive
siton baloy manay verginia,neutral
pirmi sanang taga baao ang sangkot droga,negative
ok lang yan bailbond 200k wala pahinga muna 1 year 20k lang yan,positive
shabu perming baao anyare,negative
pangalanan nyo pra mabisto ugok,negative
kan subsuban actual paryo marijuana,negative
ipabakal nanggad,neutral
in dri itatago snayan tas,neutral
must make move leader tabi isip solusyon problema bokong poro sana,positive
ono basang ginigibo nindo under oath se sweldo iwag tabi kamu,negative
sigi kamo,positive
bko xanang xadi baao kdakol xa ibang lugar minxan ngane tga naga xadi,neutral
baao narrakop,neutral
big time huh,positive
kadakulon ang matatalino igdi,positive
nata lakapasil sana kun habo nindo magpa inject dae kamu magpila,negative
matatalinong patal cge pang tahol garo ido,negative
nagcocoment dito ng negative nakaranas abroad at walang,negative
abroad walang pinipili basta may vaccine malunasan lang problemsma ng covid,neutral
sakin ang covid ay isang kasinungalingan dami nakasalamuha ibang lahi positive kuno hanggang ngaun nakauwi negative,neutral
sabi ngani baga kitang taga bicol mamatay aga ngunyana,negative
pila lang dds donation kuno,neutral
oa iba ayaw niyo wag,negative
dami dada nun tagal ng bakuna tapus ngayun puro din dada,negative
dinaman siguro kau pipilitin eh,neutral
txka alam niyo naman ok pakiramdam niyo wag kau paturok ganun lang yun,neutral
leni ninyo mig gobernador daa mayo ma iiscam 2022 patal,negative
bakit kailangan gamitin ang 50 effectivety rate sana dn nlang s 95 sayang ang pera,negative
tuta kapit kapit kase walang masabe,negative
bkadakol matatalino bicol yoo,positive
oa,negative
ngani desyerto ultimo hari boung pamilya china made an ginamit vaccine,neutral
dds una kayo magpa turok ng bakuna magka alaman hahaha,neutral
ayaw nyu magpaturok tumahimik kayo kasi nman kayo pinipilit,negative
wag nyu lang sisihin ang gobyerno nagkasakit kayo tssssk,negative
cris gord z agko kan bicol dri n nagkuku made in china,negative
michael razon hertez mgdudukdok kadto,neutral
cris gord z dibali dri itorok mg kaon sna,neutral
bosogpa,positive
sigurado uda side efect,positive
hanapin ang agent qu van nilunadan isi so detalye kadto papanaguton qu abala perwisyo,negative
pauno palan ken agqu nangyare kanda maraot sorry thank you,negative
jhon portugal pontillas pakitxt so plate no,neutral
paabangan tropa nagcheck point,negative
pukpukon payo niral,negative
jhon portugal pontillas malaka familiar middle name portugal kadakol portugal bray san jose nabua,neutral
manduya palan parehas tayo insan,positive
jhon portugal pontillas ay masi an april palan bday april din hehehe,positive
buko pong inofferan malunadan gad kapitan from nabua,neutral
tibaad makauli stay safe,positive
erykah coraldebance kahit kgwd junjay oofer ng masakyan nila,neutral
ung kaibigan q din laguna ipinost sapon ramrag pig share q katinik kaso sabi q friend q sinabiyan daw galin,neutral
galin rin daw tapos tinanggal post tinanggal q din post q,neutral
pm ing aq kaykgwd junjay,neutral
then suddenly pinost naman rider panda,neutral
pig share q naman kay kgwd sabi nagpaiyan autoridad masundo calamba kaso uda daw,neutral
tapos agko post scam daw,neutral
not so sure baga nagtutugma sadto comment kadto nagsabi,neutral
tas sabi agi sna,neutral
sabi mkabyad kanda galin calamba naglunad daw jip,neutral
so sad matuod yan mudos despite kadakol kanda gustong tumabang,neutral
gelai aigel mendez ay grabe palan modus sana yan,negative
baad diri kadakol gusto tumabang,positive
erykah coraldebance truths mam kadakol gusto kanda magtabang,positive
kgwd junjay fortuna itself gusto xa iparescue,positive
nakikipag coordinate kami sadto nagpost kanda barkada q taga bula adto,neutral
xempre kabbyan baya nagmmkulog kaso sinabihan ngani ttabangan kgwd galin daw,neutral
nangalas aq talga ata irerescue galin,negative
tapos napag isip isip q comment sadto ibang group,neutral
tapos agko nagpost 4 years ago daw arog kan istorya arog,neutral
imagine matuod talaga aayat tabang,neutral
tauno ulat rescue,negative
pinaiyanan autoridad kgwd fortuna,neutral
nagpabalik balik sadto tapos uda naman,neutral
tapos nguwan naman nabyad q post kapitan buko daw iton lehitimong taga nabua,neutral
taga quezon daw an nagsabi ing san gustong istar tinawan bray,neutral
i d uda bsang pagkakilanlan,negative
so sad despite of the people gusto kanda magtabang modus sna palan,negative
minesage q din kgwd junjay regarding,neutral
namumundo ngani matuod daw modus ing darw,negative
so kag sadiri van managot ngata isi driver pira pasahero nia basta nlang galin,negative
ibalik ke ang byahe ng bus,neutral
ganon din namn,neutral
ising udapa iba galin oda puso tapos gamit isi sasakyan galin nanggad oda kagsaderi,negative
erak diri isi isip driver oda considerasyon,negative
kabayong driver an van ikang dimungkog ah mabayad sna,negative
patikbaloon nman,negative
ay irakman bago otro andar baydon pasahiro kumpleto,negative
mabalos food panda god bless you,positive
ding pangyyari nkakapagpa tulo ng hula,negative
ngud naranasan agi pauli bikol start manila,neutral
in god grace agko nagtabang kanya,positive
salamat tawong matabangon kapwa arog panda riders yan,positive
salute all the panda riders tumulongg hain daw an van driver dae lamang hiniling so saiyang pasaheros,positive
d mn basang naerak driver van,negative
agko mn cguro number dpt pigtawagan ninda,neutral
grabe driver yan van d basang isip plite laka mal tas babayaan sna,negative
erak,negative
erak mn kiton taga nabua paryo salamat ngbigay ng food gods,negative
bless maan kmo 2,positive
siguro nguwan nguwan iisip nmn adtong driver ginibo nya,neutral
sana pangarugan k iba pang driver siton,negative
galin sana kami sapon lipa batangas tapos sto tomas deliver,neutral
diri kuman an nabayad,neutral
barombado so driver van,negative
pigsimpuran an nya ginibo nyang arogkan kapwa,negative
anuman hanapbuhay van driver kapag hinaluan katarantaduhan agko katumbas karma,negative
kada supog atang colorum,negative
baka mabangga n sna uda n sakay pasahero,neutral
makarma siya,negative
igwa kuta ng bus pauli bikol dai iyan mangyayari sainda kundi tano daw habo pang tugutan ang bus magbiyahi haling manila pasiring bikol hirak,negative
uda supog van,negative
tibaad ginibu kade darwa ibalik kanimo sobral,negative
erak,negative
tibaad makauli kamo,positive
van tibaad bisto ninyo,negative
kn matawan leksyon,negative
imposibli diri marisa kulang pasahero,negative
pakitxt plate pasilip malibay terminal bka nagpaparadal,neutral
aware ang driver llan pasahero nia at check before maglarga nagbayad madali mn ing an anapon ninda pasakay sainda,neutral
iyu ito mka kua,neutral
aram n kulang p lunad palargahun mn kn driver tanga mn an,negative
ma recover mn ninda gamit ninda,neutral
erak basang minangnu driver kun komplerto pasahero,negative
totoo lang may restro lang motor sinundo iyan,positive
maraot tawo yan iwatak bayaan pasahero nya,negative
mabalos so agyan nagtao tabang,positive
uda mn bsang malasakit s van,negative
dpat kdto panuguton q perwisyong tinao k ngud,negative
agko mairak darwa kababayan pakilunad tabi on da way sana kamo,positive
kainit payo,negative
mnsan dw nriribongan aq dgd s pasada bikolnonrinconada ang caption english,negative
sana makaoli at maaksyunan tulos igu nabua ingat,positive
grabe da bsang mala sakit kaiba nan driver hay naku,negative
makua so van gadanun an driber kudot,negative
baka sinayang iwanan sila napaka gago ng driver,negative
bwisita palan masimot pirang taon sana itatagal gurang kinaban giniraan yes death penalty,negative
tangina maray nganing narakop nakang pagsusulit,negative
kanimo ginibo darwa gbuhon kanimo,negative
ano inutang yun din ang kabayaran yes death penalty,negative
maray sanang nakapag inging bago nagraan,negative
tana abswelto ton pinakaon pina turog esus marsep,negative
oda gaud yan lola lolo ng mamahal ina ama,negative
ngod gurng arog pakan dpat sakanya ipadanas ang gaono kakulog kan cnapit mg agom,negative
tapos mahapot ang tao tanu minsan dae habu mgtabang kan iba,neutral
eu tabi ang perfect example,neutral
hayop kanimu tadtaron pino maranasan so ginibu gurang,negative
bangag toy grabeh d nayka nairak kdi gurang eto itsura mu d mig gibo samaray hudas barabas,negative
pistiha ng tawhana oi wala may kalooy tiguwang,negative
hoi palooy looy dayon nawng ang boang,negative
ari ug cebu dong ky panitan kang bubi,negative
dina naawang animal nato matatanda n pinatay mupa,negative
yang paragadan bitayon dae kaipohan digdi kinaban an maraot tawo,neutral
tadtarin din paunti unti hanggang mawalan ng hininga ang animal nayan,negative
parang wala huwisyo tong lalake,negative
jusko naerak gurang dapit hapon buway,negative
pangyayari grabe dawa tratuhin ng mabuti ang isang tao ngaun wla ng sinasanto,negative
pinakain mu sia pala papatay sau,negative
hay naku grbe naiicp k tawo nguwan,negative
mabulok mn s kulungan nggibo kan,negative
hinuli nyo binaril nyo palamunin yan ng gobyerno,negative
yn so pinakaon at pinainom muna traydor p din,negative
parang singapore lang arog kaiyan ang hinahatulan bitay,negative
yes death penalty,negative
shierlyien ann bagalacsa aroroy baga kuno,neutral
hayop murderer toh pinakain at pinatulog ng matatanda nagawa nya yun,negative
kapal kn lalawgon hinayopak pinadagos pinakakan eu yan binalos hudas,negative
erak mn kn biktima ata gurang mnga ga patayin den yan hayup hayup hayup demonyu jablo patayin din yan,negative
pinakain pinatuloy tapos nangagat ganyan tao wag patagalin hindi tularan wawa naman ng pinatay nya,negative
napaka walang hiya matapos k kupkupin at palamunin ganyan gagawin mu,negative
katayon kriminal an,negative
manlaban kana sumunod kna pinatay hudas,negative
firing dpat hayup yan,negative
patayen ning napatunayan khit ang langet ay mauunawaan,negative
grabe n nmn oh pinakain at pinatulog n nga ginawan p ng msama s,negative
masbate naman,neutral
gibon pinag gibo,negative
walang utang loob cguro may tama utak nyan kabata criminal,negative
pasakan nyog yan hayop yan,negative
siguro so nabaritang rapist casugad at may gibo kayan lubgan sanang tawo nagtakot sige kan libot libot kinikiragan sana pirmi libot aa tanod proteksyon lambang,neutral
anna olleres gomez tga an rape,neutral
anna olleres gomez ai amu kuno tan,neutral
anna olleres gomez kiton guranon narakop,negative
possible tiga uusad ah kag gibo kan isi nya dadarahon ah tawo,neutral
anna olleres gomez same case nangyari casugad talga sana marakop ya hayupan n uyan,negative
aicrag recag nyhix ngani sana magkausad aa kalalakiyan magbantay dis oras marakop hayp an,negative
just want ask alam naman after 24 hours palang gagawa ng action ng,neutral
ating authority kasi yun ang protocol hindi ba pwede palitan ang protocol yan,neutral
atleast pababain kasi kalimitan late natin naaabutan ng crime tapos wala if,neutral
sana mabilis ang aksyon mabilis nating naisasalba yung tao,neutral
kano gad admin pasada rinconada sige english naisiyan ng rinconada,negative
makamit lugod q rape hustisya,positive
hay naykuman talaga safe igin dawa loog ngani baloy nadukot,negative
pasiguro parents panarado baloy,neutral
ya iwatak igin magusad baloy instruksiyunan samaray magbukas pinto agko magbabaoy,neutral
sabihan igin magsirang muna bistuhon siisay,neutral
diri bisto pagbuksan,neutral
nowadays uda bisto bisto miggibo kademonyohan,negative
maray sabihan igin dina sana magbukas sisay lalo lalaki,neutral
erinsiya buku no way,neutral
diyos sanaman matawan justice natuturog sna so igin basta nlang kinuko,negative
sana mai sketch igin so itsura,neutral
sna nagsarita 0 magtao report so nakailing dri mkatakot,neutral
maray sna d ginuraan so igin,positive
pagnarakop guranon putulan sanang payo payo tani habang buhay pagdusahan kamanyakan,negative
uri admin barita ehh galaw galaw naman hahahhaha,negative
my god bka bistado igin isi kun isay adto gibo knya arog kan,negative
sana isumbong marakup ya tawong uyan,negative
dre nman lugod maka gibo ibang kaiginan kababaehan,negative
uda puso kag gibo,negative
cristine habana pkadayan huhu katakot 43 baka knato mn makatakot parang sna gad poh ah kaggebo kan dnman ay naerak ai 12 yrsold ping grbe sna,negative
ay jusko eringaat n sna kabataan lalo pg gabe dri mgpra bragbarag,negative
sino sya may gwa nyan ppuntahin tan dto iriga ang pupugot ng ulo nyan,negative
punyeta ang sagupain my llagyan,negative
seguro adik punyeta ttalupan kta ng buhay,negative
omg irak,negative
grabe tiga ngowan matakot mnga babayaan mnga igen baloy,negative
gad naoodang egin napost sdi fb,neutral
kenshin lingam grabe nmn wia n tiga ptwad hndi n naawa s bata,negative
malapit ing dto yn s sunod n bayan,neutral
dpat kan bitayon taga bula n2man ay agku mn tga bula n ese sobra k manyak,negative
kontento agom,negative
nayku dawa gosgos n kulapos isip,negative
baka taga jan ing yan bula ang rapist baana yn madakop yn baad makabiktima yn iringatan ang aki,negative
angie odartsiger larissa bandales registrado ingat sna kamo permi nayko iba tiga panahon haiks keep safe lang kamo,negative
erika cezar vivian mabasa cezar pglikay rw kamu malala n bga cton puro pti babaye cton baloy,negative
praise the lord naway sumalangit ang kanyang kaluluwa,positive
jusko nakakagibo kading lalaki so mismong subrang tigang at libog ata,neutral
gayod tatao makarakop malinig n pamamaraan,neutral
irak igin,negative
annie bislumbre olleres ingat kmu cton baloy pirming alerto,negative
butangan saradora pintuan,neutral
teresa villagracia oh gaud so pigshare sabi naanap kanubnuban,neutral
erak dpat kan gaposon pla egood agko during marakop,negative
kaorag mayo pangaran kan suspek,neutral
demonyo kag gibo kan dpat kaiyan bitayon pg nadakop,negative
maray kan pagnarakop gudan lusto gudgudun paiyan centro qng d sya maraya kan,negative
tian mala ng takot nguwan nguwan,negative
gadanon nalang maintindihan naman yan papa god,negative
irak,negative
amu so taga lubgan,neutral
divine rose dire sige barag,neutral
lemuel dire paka sutils,neutral
justice anak ng pinsan aaa,negative
malanang takot cam sur ga,negative
lovely rosales ingat dimag dayan,neutral
kaorag manyakis yan dakol ngani prob ang mundo inotogan,negative
katayin sana yung may gawa,negative
omg ingat2 ngamin dna safe,neutral
enan glaiz laura iton igin,neutral
tao masyadong nerbyoso yung lespu haay,neutral
pahalagahan kintana ninyo itu agom nyong pulis n sna agko maray sweldo ngowan pandemya,neutral
lala maricel agko ibang tawo nakamamati gatol uda prenow,neutral
amuyan so nadara kagow dinadara suka magatul tiga nagpakagow nasana iba kan dinagsan n pareho,neutral
lwas pagkakasala,neutral
haha ate ghenie e phyr ulok kd comment,positive
dinaog nalipaye,negative
okey lang yan sabi nga minsan ng abogado kapag nakita mismo ok ing kahit,neutral
mapatay mapa babae or lalaki naaktuhan ba naman alangan magpalakpak,neutral
clalaki injiputan harong ninda tama yan ndi pamarisan nin iba lalo n,negative
kasal kamo cton kabit kabitan magtaga ingat ingat kamo maarog,neutral
kamo kan hehehehe,positive
zen goanam okey yan congrats sgt,positive
i bilian torres,neutral
zen goanam ngani,positive
zen goanam kasal sila protektado sya ng batas hindi eh kulong,neutral
ung kawawang pulis niloko ng kanyang asawa,neutral
6 palma d nenearpet,neutral
tama lang yan bbae nkontento isang ulam naaktuhan muna nagsisiping,negative
sempre magddilim paningin moh ano gagawin magpalakpakan,negative
hrapan nila nagppasarap sila kama,neutral
zen goanam bikolana giraray sain tabi,neutral
zen goanam tama haha,positive
dinagusan nganing maraya abswelto ahan lalo p kasal,negative
sasa oberes mig agi an proseso gen,neutral
ndi sya abswelto wala kamay nya ang batas,neutral
acquitted for sure napunta korte completo papel agom,neutral
dawa madedo so darwa caught in the act kasi,negative
but there s process much better if the policeman took photo 1st and then file,positive
case,positive
depende nga talaga tao sifuro nagulat din since misis nga edi,neutral
gg kabit hahaha,positive
batas nayan napa tay ung kalaguyo nung asawa lalo,neutral
evidence kasal kayo kahit mapatay sila oo ma kokolung,neutral
mabilis kalang makakalaya,neutral
diri an ginigibo kasi kapag naaalala ang araw magkasama tayong,neutral
dalawa ngiti at luha aking mata ganon pala tayo dati kasaya haaa,neutral
tig tigbas munalang mahalun ang bala ngunyan,negative
